Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.4189383,0.00029700613,0.015445261,-0.8366770112498045,593.75,-0.8366769966523862
20000,1.4181936,0.00029099992,0.0033435142,0.9167298867878912,299.52941176470586,0.9348572227595882
30000,1.4171823,0.00028501108,0.04311596,0.821968187240421,208.5531914893617,0.8235849380651687
40000,1.4160385,0.0002790089,0.08921241,0.7895299737014209,162.95,0.7805629294426715
50000,1.4155496,0.0002729959,0.11099558,0.692620858051648,148.86363636363637,0.6926208549094471
60000,1.4153504,0.00026699778,0.11950769,0.7407654011587229,137.88732394366198,0.7407653988666938
70000,1.415125,0.0002609964,0.11703695,0.9564936057708076,183.35849056603774,0.956493610727056
80000,1.4149601,0.000254989,0.15840997,1.270052050775201,194.8235294117647,1.270052044853276
90000,1.4150062,0.00024898798,0.16954559,1.4610683758736893,204.70833333333334,1.4610683703795075
100000,1.414431,0.00024299033,0.24532668,2.100622242896809,188.5,2.1006222430330057
110000,1.4135829,0.00023699935,0.28661898,2.8019643200042474,175.05357142857142,2.801964339401041
120000,1.4123467,0.00023100263,0.40976122,3.788303796018612,165.28813559322035,3.788303798285581
130000,1.4105031,0.00022500734,0.5687563,4.2602087734855685,157.46031746031747,4.259169865760111
140000,1.4082103,0.00021899985,0.71112,4.27207741058055,146.98507462686567,4.285777332622613
150000,1.4062151,0.00021300004,0.86382407,4.573941310752861,148.27692307692308,4.556256253610957
160000,1.4043822,0.00020701128,0.9523856,4.573919690377884,138.91549295774647,4.573919646546874
170000,1.4027278,0.00020100895,1.1024069,4.6423435247516425,144.27941176470588,4.642343553550103
180000,1.4010243,0.00019500528,1.1033939,4.734968786359762,137.125,4.713062355635872
190000,1.3994828,0.00018900081,1.1602811,4.7406798600911175,132.67123287671234,4.761621008853655
200000,1.3982327,0.00018300711,1.2561898,4.977223785942513,127.79220779220779,4.977223786634284
210000,1.39702,0.00017700868,1.3045658,5.780598324080807,137.56944444444446,5.795119852247373
220000,1.395686,0.00017100618,1.3813323,6.361372635803899,146.32835820895522,6.366063815221858
230000,1.3940415,0.00016500033,1.4889007,7.47574854975246,161.5084745762712,7.425073642780384
240000,1.3924766,0.00015900543,1.6335866,11.51254652842163,219.43478260869566,11.435897990730073
250000,1.3912115,0.00015300671,1.7206131,13.535039131508665,251.4102564102564,13.570706420391797
260000,1.3899475,0.00014700636,1.9365782,28.443873788440804,483.25,28.44387382939458
270000,1.3887745,0.00014101423,2.1080303,37.4512435556731,607.625,37.45124366693199
280000,1.3876305,0.00013500337,2.3249552,63.43053099463941,992.5,63.430531200766566
290000,1.386651,0.00012899518,2.4238932,54.653092932872575,843.1818181818181,54.65309270674532
300000,1.386053,0.0001230051,2.7466373,82.03330632837219,1264.25,82.03330623917282
310000,1.3855312,0.00011700207,2.8442953,73.50564190943624,1127.2222222222222,73.50564204984241
